OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
146,Contextual Overlay District,2015Z-004PR-001,BL2015-1035,3/27/2015 5:00:00 AM,,,,6694bdbf-a3f2-4e5d-996d-f8faaaacf643
147,Urban Design Overlay,2015UD-001-001,BL2015-1049,4/24/2015 5:00:00 AM,Bellwood,,,d74e4f9f-dd2d-42aa-b449-54ce0cb504ea
148,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,1D,08978528-f1ba-484c-adab-f5bd8b819d65
149,Contextual Overlay District,2015Z-007PR-001,BL2015-1032,4/24/2015 5:00:00 AM,,,,620b4d04-96c6-4dc3-89a1-c3be9b67fd9c
150,Neighborhood Conservation,2014NHC-002-001,BL2014-703,4/18/2014 5:00:00 AM,Eastwood,,,ea705542-5fab-408d-a299-06b5b96db5d6
151,Neighborhood Conservation,2014NHC-002-001,BL2014-703,4/18/2014 5:00:00 AM,Eastwood,,,288d3ab4-6efa-442a-a0fd-7d34e0681aec
152,Neighborhood Conservation,2014NHC-002-001,BL2014-703,4/18/2014 5:00:00 AM,Eastwood,,,3329c23c-6082-4840-9c75-7f08dc78326b
153,Urban Zoning Overlay,2000Z-094U-00,BL2000-476,12/2/2000 6:00:00 AM,,,,c066d7a6-0351-4cfd-9cd5-1cd3e850d578
154,Neighborhood Conservation,2007Z-123U-05,BL2007-1501,7/25/2007 5:00:00 AM,Eastwood,,,ac68ce7a-f18d-45f3-8844-e29e0ffa24d8
155,Neighborhood Conservation,2014NHC-002-001,BL2014-703,4/18/2014 5:00:00 AM,Eastwood,,,4d04fb0e-3fc6-4ab5-bc48-bc40eb483c0f
156,Historic Preservation Landmark,99Z-088U,O99-1698,7/24/1999 5:00:00 AM,Parthenon, , ,1e4088a0-e91a-4aef-9f8c-896af34b6261
157,Contextual Overlay District,2015Z-056PR-001,BL2015-1169,7/24/2015 5:00:00 AM,,,,1abc8409-903a-4c7b-b7de-4a2a36bab7d8
158,Historic Preservation Landmark,2015HL-014-001,BL2015-1200,8/14/2015 5:00:00 AM,417 4th Avenue North,,,814e59ed-7c49-4572-a0fa-0db3a6ee9e50
159,Historic Preservation Landmark,2015HL-012-001,BL2015-1199,8/14/2015 5:00:00 AM,225 Polk Avenue,,,86a34e90-7251-43f6-93ca-69e423a87de3
160,Historic Preservation Landmark,2015HL-010-001,BL2015-1198,8/14/2015 5:00:00 AM,Bank Street,,,0f6ddd97-1c03-4294-8497-61c3a2dce421
161,Historic Preservation Landmark,2015HL-013-001,BL2015-1197,8/14/2015 5:00:00 AM,408 2nd Avenue North,,,78769f0a-d626-4614-9c8b-3ff13da02b1d
162,Historic Preservation Landmark,2015HL-011-001,BL2015-1196,8/14/2015 5:00:00 AM,Warner Parks,,,1999e4c5-0185-422d-8133-2721b5e3a19a
163,Historic Preservation Landmark,2015HL-008-001,BL2015-1195,8/14/2015 5:00:00 AM,,,,4f765fd3-394f-4085-b0ef-85e0d6dac62b
164,Historic Preservation Landmark,2015HL-003-001,BL2015-1194,8/14/2015 5:00:00 AM,Centennial Park,,,30c61c46-793e-40ab-97cf-cf5dbf585dcb
165,Historic Preservation Landmark,2015HL-009-001,BL2015-1193,8/14/2015 5:00:00 AM,511 Oman Street,,,ca44cbf0-54d2-4461-a6d1-72b7e4cbb53f
166,Historic Preservation Landmark,2015HL-005-001,BL2015-1192,8/14/2015 5:00:00 AM,1530 Lock Road,,,08bd6ccb-2ae3-410a-8ef3-0f7968db0d59
167,Historic Preservation Landmark,2015HL-006-001,BL2015-1191,8/14/2015 5:00:00 AM,Lock Two,,,2d9db91d-fa74-432b-bb52-16df729ba40f
168,Historic Preservation Landmark,2015HL-004-001,BL2015-1190,8/14/2015 5:00:00 AM,Stones River Road,,,17312cff-f081-4186-9522-98e44dcd2419
169,Historic Preservation Landmark,2015HL-001-001,BL2015-1188,8/14/2015 5:00:00 AM,Bells Bend,,,730c92f2-89e3-4583-9226-5015f3418558
170,Historic Preservation Landmark,2015HL-002-001,BL2015-1187,8/14/2015 5:00:00 AM,Shelby Park,,,515b6c9a-45cd-4862-8852-12e439f13d99
171,Historic Preservation Landmark,2015HL-007-001,BL2015-1189,8/14/2015 5:00:00 AM,749 Massman Drive,,,71ed49ca-5df5-4288-9ebb-9ddc757c6a56
172,Historic Preservation Landmark,2015HL-015-001,BL2015-1267,8/21/2015 5:00:00 AM,3603 West End Avenue,,,47bdbdf1-f2da-4551-8950-632039520d2e
173,Contextual Overlay District,2015Z-059PR-001,BL2015-1269,8/21/2015 5:00:00 AM,,,,000aa030-0c07-4978-b5b7-c396dd21ae0b
